rank_frequency,S,fk
3,8,0.11528205541942343
3,9,0.12230100022035348
3,39,0.1154721785402617
3,65,0.12308344282671924
3,103,0.11334799189764745
3,35,0.12934094151413905
3,67,0.12261716363891069
3,48,0.12290718009822096
3,78,0.11538621322206141
3,47,0.12650194262350753
3,63,0.12109320405924733
3,27,0.11946822522637376
3,25,0.12729354027194842
3,2,1.4502889471592344e-05
3,3,0.11498473314110291
3,4,0.13088113906300206
3,5,0.11208986031439869
3,6,0.11573028417618926
3,14,0.11590199993029027
3,46,0.12061912431765213
3,94,0.13599539619110187
3,59,0.11220502433697183
3,36,0.11920747503695418
3,58,0.11824546956653093
3,28,0.12001607497384646
3,104,0.11931884042795535
3,19,0.1204105601152847
3,85,0.12558847011977733
3,32,0.12405113352171605
3,57,0.1137091604703736
3,42,0.11894670922590424
3,76,0.1209233195400832
3,92,0.10117744739512428
3,91,0.11056548218989339
3,53,0.1173386441774603
3,99,0.1011678383512419
3,31,0.12370025124901596
3,71,0.11963300278992813
3,83,0.11692746215493295
3,24,0.12115847790436304
3,79,0.12079308134627981
3,98,0.11654232332203258
3,49,0.11523872830146405
3,56,0.11716289400127759
3,17,0.12790686448631633
3,15,0.11188202704012991
3,16,0.11453265938959085
3,68,0.11918422147820053
3,60,0.11669700791439555
3,50,0.1262235059032745
3,12,0.12351222554214056
3,13,0.1170544620141888
3,30,0.11007813660944671
3,73,0.10914078573517855
3,64,0.11811478224912125
3,89,0.11154969829878285
3,86,0.1120821157663999
3,26,0.12325939180192429
3,29,0.11312946923540451
3,66,0.11119644360940373
4,55,0.08328888088718431
4,87,0.07987408856660205
4,82,0.08043855013009382
4,88,0.08413784108933633
4,54,0.07881743441638966
4,10,0.06922686407339253
4,11,0.06865118868004517
4,21,0.07813395539400336
4,22,0.08260819076813088
4,34,0.07785960450343164
4,45,0.0733320240125014
4,44,0.07789429623390505
4,81,0.08483701963554159
4,70,0.08355884282531041
4,41,0.0803424877687726
4,33,0.08060868781222007
4,20,0.07839946568384383
4,43,0.07967222732442525
4,97,0.06963453140322326
4,80,0.08130947224826476
4,95,0.08208159150622386
4,37,0.0786001301226405
4,18,0.07427930213334612
4,101,0.0796902926884724
4,93,0.07351158996763076
4,75,0.07810837397959296
4,74,0.07990950186095491
4,72,0.07538936262058002
4,52,0.07877184755543139
4,100,0.08281891920931952
4,38,0.07939619742908427
4,62,0.07520288627645443
4,7,0.06979068406133104
4,8,0.06498093903950672
4,9,0.07111644868801531
4,39,0.0761248382173851
4,65,0.08248260749950237
4,103,0.08019493399701491
4,35,0.08430157224602983
4,67,0.08175968317824184
4,48,0.08120254056396076
4,78,0.0806881701828215
4,47,0.08373348723303586
4,53,0.08075369596281967
4,63,0.08109477394853529
4,27,0.07647727196712815
4,25,0.08157134693283519
4,3,0.00027332906256673077
4,4,0.07070146906640845
4,5,0.059602386534900846
4,6,0.061651023454526
4,14,0.06964991273416576
4,46,0.079834177058198
4,94,0.09490620282571004
4,59,0.07631612684748519
4,36,0.0776859778877208
4,58,0.0789774252374209
4,28,0.07682759320709405
4,19,0.07500589879893668
4,85,0.08276994378261233
4,32,0.08035521053062224
4,57,0.07651872373013074
4,42,0.07983338246107
4,76,0.08326386766076863
4,92,0.0724629340345933
4,91,0.08186480791817406
4,99,0.07840447172483533
4,31,0.08005036839628894
4,71,0.08501260145872155
4,83,0.0804196385286864
4,24,0.07617012514673155
4,79,0.08542071545419344
4,98,0.09006276791983038
4,49,0.07755765847594404
4,56,0.07895016115768655
4,17,0.07765603813241703
4,15,0.06766805129203139
4,16,0.06970625559183467
4,68,0.08076530599118494
4,60,0.07928098701139127
4,50,0.08429051111540581
4,12,0.07404663370012952
4,13,0.07010124624044453
4,30,0.07100094677939527
4,73,0.07243719955126175
4,104,0.08654716256648362
4,64,0.08222735966257963
4,89,0.07359008693951058
4,86,0.07699069699638356
4,26,0.07933407318084648
4,29,0.07311483994625115
4,66,0.07377591694301198
5,55,0.05762596789995553
5,87,0.06103605606747195
5,82,0.05763799732277959
5,88,0.056782576348920935
5,54,0.05550472601925516
5,10,0.04249627874701142
5,11,0.04327431989312746
5,21,0.05187888650106898
5,34,0.05383880529010088
5,45,0.05097330143415166
5,44,0.05431502992384368
5,97,0.05011710067476273
5,81,0.05881623533397185
5,70,0.05883044011226822
5,41,0.055530442857757475
5,20,0.05189556189805377
5,43,0.05603361698882866
5,80,0.05668330204942166
5,95,0.053337068205090626
5,37,0.053760187841238635
5,18,0.048744709585015054
5,101,0.0568188571386126
5,93,0.05660055858248416
5,75,0.05481831946024236
5,74,0.05658663683537785
5,72,0.05497279343692699
5,52,0.05550410332988352
5,100,0.0627147164046239
5,38,0.05492317429384835
5,62,0.05442288345059046
5,7,0.04247737325150628
5,8,0.039226537517170014
5,9,0.04290998422891854
5,39,0.05251745200468235
5,65,0.057516002656694896
5,103,0.06138741717270641
5,35,0.05751941723157341
5,67,0.057260620223605445
5,48,0.056627136260804845
5,78,0.05729693550691844
5,47,0.05758284321327511
5,53,0.056233116504920314
5,63,0.05755340255314652
5,27,0.05172317584545978
5,25,0.05449784158729309
5,4,0.00032371751817531646
5,5,0.03497531068237776
5,6,0.03564683743561334
5,14,0.04447081218963596
5,46,0.055709704821324146
5,94,0.07110681662149386
5,59,0.05417228125110365
5,36,0.05306907883365637
5,58,0.055505271288594664
5,33,0.05495373333388283
5,28,0.05171384804491306
5,19,0.04903306339676017
5,85,0.06164209771449206
5,32,0.054930043620044805
5,57,0.05305566603082501
5,42,0.05492532210729526
5,76,0.06005964730541343
5,92,0.04841651359570006
5,91,0.06473657111398129
5,99,0.05281971973652747
5,31,0.05474323672025022
5,71,0.05988154512293834
5,83,0.062386908046856766
5,22,0.055278939223424174
5,24,0.050364677646401027
5,79,0.06276064579839269
5,98,0.06297482409390091
5,49,0.055000325817473605
5,56,0.05517240095247903
5,17,0.050430701671848016
5,15,0.043977297993663636
5,16,0.04473780818884884
5,68,0.05855882197275796
5,60,0.05537659555304942
5,50,0.060235419478130554
5,12,0.045983894167722535
5,13,0.04480839941583676
5,73,0.05330758093218141
5,30,0.04805263224395414
5,104,0.05855717776833307
5,64,0.05948083508644212
5,89,0.052630600447581485
5,86,0.054136956415101106
5,26,0.05310188469060889
5,29,0.04934158586463526
5,66,0.05279001249377959
6,55,0.04246770760706396
6,87,0.04655125823594011
6,82,0.04167587629552029
6,88,0.042005467478641305
6,54,0.04113391589780673
6,10,0.026808735177990508
6,11,0.027555686579722377
6,21,0.03579841740292211
6,34,0.03868530403045376
6,45,0.03715745414197043
6,44,0.03945361914776905
6,97,0.039378183094050896
6,81,0.04426324757391776
6,70,0.043254817542208036
6,41,0.04036934754524716
6,20,0.03559638538495052
6,43,0.04052472641361978
6,80,0.03971428306934456
6,95,0.03893566870407362
6,37,0.038874928896231654
6,18,0.03297402350078044
6,101,0.0387143276704369
6,93,0.044509660307830975
6,75,0.040417767211556745
6,74,0.042856194406973115
6,72,0.039710693551542914
6,52,0.0411370450875077
6,100,0.04331039169702723
6,38,0.03956145156577938
6,62,0.040111120279747996
6,7,0.02515615829929481
6,8,0.0243761490561246
6,9,0.02736336127925582
6,39,0.03799011536619718
6,65,0.041640096577944305
6,103,0.042507874403222914
6,35,0.041450431273754744
6,67,0.04328861858014024
6,48,0.041087591477500324
6,78,0.04300013891538892
6,47,0.041803125396892175
6,53,0.040474657017683574
6,63,0.043176048498707785
6,27,0.03648416201062661
6,25,0.03800272346290208
6,24,0.03508065273458185
6,5,0.000406545816349343
6,6,0.022043142032746436
6,14,0.02966299625594027
6,46,0.04064477648861095
6,94,0.04612643522094491
6,59,0.04053657630085799
6,36,0.038033540910898875
6,58,0.040366164134767346
6,33,0.039015510880333434
6,28,0.03625267035223548
6,19,0.033661423528451834
6,85,0.04394487000189579
6,32,0.03914407926136294
6,57,0.039465245752171724
6,42,0.0393206055790819
6,76,0.04597503224372965
6,92,0.03946896574303498
6,91,0.045187701567970286
6,99,0.03724041272273176
6,31,0.03912979206336834
6,71,0.04179603050346037
6,83,0.04609904858870068
6,22,0.03819546212344542
6,79,0.04641488819689311
6,98,0.04711984905354875
6,49,0.039688346541575936
6,56,0.04103877866795715
6,17,0.03397909555589711
6,15,0.02946852369834394
6,16,0.030486145555563463
6,68,0.043132747283814346
6,60,0.0405409392613863
6,50,0.04386703635486849
6,12,0.03019376719662477
6,13,0.029716378426809634
6,73,0.04005965599987445
6,30,0.034033478086160925
6,104,0.043587376748172625
6,64,0.042620234194799114
6,89,0.040507133056605436
6,86,0.04207902584669114
6,26,0.037532118696730045
6,29,0.035165828758704096
6,66,0.038373728343654795
7,55,0.03188718471278624
7,87,0.03590956245878441
7,82,0.03336074017886422
7,88,0.03404206081877814
7,54,0.03068306685520036
7,10,0.01767169237409741
7,11,0.018539499836665016
7,21,0.02548062485040706
7,34,0.028687943650392695
7,45,0.027843976508525315
7,44,0.029781133736779986
7,97,0.029878593931448927
7,81,0.03217859209673975
7,70,0.0327922023529072
7,41,0.030147975708259826
7,20,0.025430626998525253
7,43,0.030643393755684985
7,80,0.030471391724755683
7,95,0.031933113786236894
7,37,0.029021628559057603
7,18,0.02310928357781492
7,101,0.029615039191892418
7,93,0.03608839280682555
7,75,0.030629844554100946
7,92,0.03198679085634139
7,74,0.03187770103911378
7,72,0.02996349491019213
7,52,0.030769272688892207
7,100,0.03485451068798856
7,38,0.029237136472514066
7,62,0.031099871167145354
7,79,0.0343899478409952
7,7,0.015884418930863224
7,8,0.015003654897022165
7,9,0.01741568816417987
7,39,0.028200781152896492
7,65,0.03162960724222139
7,35,0.03081260581095804
7,67,0.03240969802399697
7,48,0.03066358176835233
7,78,0.034485768719613515
7,47,0.031429683307358555
7,53,0.030466318473733628
7,63,0.032562112778756196
7,27,0.02660147516593904
7,25,0.02777112401490522
7,24,0.025318381528296567
7,6,0.0004949775859178083
7,14,0.020339741310830866
7,46,0.030580354290314613
7,94,0.03260160609778711
7,59,0.030522023900004927
7,36,0.028065989932225446
7,58,0.030522105721987484
7,33,0.02884407947767527
7,28,0.026726237298797077
7,19,0.02376090286536682
7,85,0.03307046717148814
7,32,0.028604128144930914
7,57,0.02967106709263924
7,42,0.029391851061384488
7,76,0.03454222564727755
