rank_frequency,nstarts
1,0.40404058049721525
2,0.20484565494538737
3,0.11857757204471028
4,0.07461770610762064
5,0.04963937077346759
6,0.0345065834882951
7,0.02480733854701233
8,0.018409633842929343
9,0.013940731368565816
10,0.010741644145266382
11,0.008438886577716374
12,0.006720115949755319
13,0.005402027116824182
14,0.00439141781354131
15,0.0035932878185464478
16,0.002962146668751736
17,0.002448401550983118
18,0.002029268769009194
19,0.0016932363569208987
20,0.0014193044700355944
