age,avg(AS)
48,13.692307692307692
43,19.0
44,27.5
22,38.0
51,21.666666666666668
52,10.333333333333334
24,34.8
26,26.53846153846154
54,13.352941176470589
23,30.75
35,23.875
35,35.0
42,16.0
49,27.8
25,14.375
35,36.333333333333336
41,23.375
66,27.714285714285715
39,26.9375
49,38.0
41,24.6
33,33.30769230769231
49,41.76470588235294
49,23.916666666666668
26,20.529411764705884
50,24.705882352941178
45,30.076923076923077
64,17.0
63,11.8125
27,33.35294117647059
51,36.94117647058823
25,34.57142857142857
51,24.0
30,34.88235294117647
22,26.294117647058822
44,26.875
46,34.705882352941174
38,27.466666666666665
31,49.90909090909091
37,17.666666666666668
47,23.6875
60,23.0
42,34.333333333333336
55,20.272727272727273
61,21.533333333333335
50,42.411764705882355
28,28.470588235294116
31,35.42857142857143
30,32.4
30,41.1875
50,24.11764705882353
44,16.363636363636363
25,40.13333333333333
33,28.5625
39,23.529411764705884
46,15.333333333333334
58,45.9
24,45.166666666666664
28,25.25
46,61.0
35,21.529411764705884
51,19.133333333333333
31,24.25
30,24.09090909090909
41,26.0
27,30.77777777777778
41,39.666666666666664
58,18.916666666666668
26,17.058823529411764
31,48.0
46,48.411764705882355
32,24.857142857142858
56,38.705882352941174
48,19.625
47,26.866666666666667
35,45.470588235294116
37,47.875
60,7.0
28,23.176470588235293
53,29.3125
44,18.875
43,34.0
32,29.928571428571427
26,32.05882352941177
25,25.666666666666668
26,29.0
41,46.5
37,39.90909090909091
58,36.5
49,20.647058823529413
36,21.6
23,27.857142857142858
30,34.0
32,17.705882352941178
40,27.5
58,14.941176470588236
44,18.058823529411764
36,35.63636363636363
57,17.333333333333332
40,32.333333333333336
32,30.529411764705884
32,23.705882352941178
45,20.764705882352942
33,30.733333333333334
37,39.13333333333333
35,17.692307692307693
30,31.0
43,28.1
32,42.5
60,19.058823529411764
25,22.666666666666668
68,18.615384615384617
20,34.0
61,36.5
53,18.066666666666666
32,48.5
61,46.75
57,32.470588235294116
51,8.235294117647058
37,32.76470588235294
45,8.428571428571429
31,30.529411764705884
26,26.25
50,36.64705882352941
52,43.1764705882353
43,29.083333333333332
33,25.076923076923077
