week,new
1,2.736818805811307
2,3.727113368869173
3,4.563724503714039
4,5.374397345188154
5,6.226600412374823
6,6.9411938362444925
7,7.547980746864208
8,8.112820535762218
9,8.662920292610904
10,9.243530943634305
11,9.842680187235414
12,10.406622030469576
13,10.90642191157842
14,11.373303309218537
15,11.840035818222521
16,12.31340737091935
17,12.799284277850683
18,13.294856001182632
19,13.76351327132283
20,14.196943759802823
21,14.617034341188809
22,15.047226269191976
23,15.492144906743185
24,15.94660579506061
25,16.396128245151335
26,16.82536641827538
27,17.226144430185496
28,17.621395520010054
29,18.02474018540549
30,18.430690135153338
31,18.8462053230573
32,19.257914384930885
33,19.653057189461716
34,20.034675248210057
35,20.412743652449112
36,20.799325509240525
37,21.194339996041954
38,21.5938912958389
39,21.99157504376747
40,22.379666770210104
41,22.75308919951005
42,23.12522128478056
43,23.49813230238227
44,23.8701629442654
45,24.241405742731406
46,24.607158322056833
47,24.96258844126778
48,25.30610577443935
49,25.648278104424634
50,25.99217560614206
51,26.335498070265825
52,26.67853041441735
53,27.019568285445466
54,27.350912365815248
55,27.671772418976555
56,27.988843491810407
57,28.310136993750763
58,28.637623663616825
59,28.97004214241323
60,29.304328684056443
61,29.63553872145621
62,29.962956567575183
63,30.29344731935792
64,30.627565715533756
65,30.964972590015844
66,31.300340363874955
67,31.635088615213455
68,31.96492925163239
69,32.29106092705556
70,32.62256409319157
71,32.95681594769449
72,33.298015638797764
73,33.63972066399542
74,33.98117764599125
75,34.323146988813825
76,34.6644681280752
77,35.00844767631481
78,35.3583574745942
79,35.712227136538736
80,36.06501200001843
81,36.41981888936021
82,36.77385826044816
83,37.12416660891261
84,37.47665328251055
85,37.82908935965246
86,38.18412632164719
87,38.53713678110751
88,38.883067253066045
89,39.22132895128855
90,39.5543053179638
91,39.885678145683
92,40.21773801510732
93,40.550295165465876
94,40.88201114279283
95,41.20786730614756
96,41.53199237772602
97,41.85234064214475
98,42.17433003565273
99,42.49702219047574
100,42.820815659138844
101,43.1464803583048
102,43.47251507636949
103,43.794562697375326
104,44.11734445071284
105,44.44200523304293
106,44.77346845656925
107,45.097723147439325
108,45.423910944620374
109,45.75163376545421
110,46.07573831267772
111,46.39919027158019
112,46.718203515074016
113,47.051016360689296
114,47.382904689120316
115,47.717922923293145
116,48.04684715897842
117,48.37346937761727
118,48.70279153511988
119,49.039893217401755
120,49.378152148214475
121,49.713807112755056
122,50.05376371380849
123,50.390451845956036
124,50.72687685608334
125,51.05798909932812
126,51.40075413373167
127,51.73183465901682
128,52.06862431336338
129,52.412160878285654
130,52.74870525493862
131,53.08625169755231
132,53.41612512450534
133,53.74980067580394
134,54.090775916258984
135,54.43614735310971
136,54.78704326135145
137,55.14344473583933
138,55.49304440272343
139,55.83696471394313
140,56.17855680802606
141,56.519104237751975
142,56.85289202706679
143,57.19804984264289
144,57.54227252781602
145,57.90959565553184
146,58.25455663888291
147,58.59261172662766
148,58.929863683322
149,59.27677705771291
150,59.617695901369224
151,59.9704644112852
152,60.33114684441848
153,60.687925204434926
154,61.04054423442262
155,61.39650447175061
156,61.74803915350627
157,62.11470407037552
158,62.46722153046289
159,62.852385045122475
160,63.23182185074267
