rank_time,time_spent
1,0.7638480343029603
2,0.1313194778067689
3,0.03639258910536471
4,0.015552966991573134
5,0.008971626737090468
6,0.006037460261960892
7,0.004442921703887877
8,0.0034624651545820725
9,0.0028093830803282674
10,0.002351196926446837
11,0.0020145523221351083
12,0.0017541637141772555
13,0.0015514558577946701
14,0.0013894085078011815
15,0.0012528580236601588
