rank_time,nsecs
1,0.450325404471141
2,0.20451240129618886
3,0.11372469200744915
4,0.06912373357159636
5,0.044483314889823204
6,0.02986623251758281
7,0.02082399654151433
8,0.0149695840655472
9,0.011018553493249966
10,0.008265471207437222
11,0.006319460464813649
12,0.004900877759619486
13,0.0038499649643754224
14,0.0030597915370935112
15,0.002458159575565634
