type_mob,count_weeks
explorer,0.3103448275862071
explorer,0.5163934426229505
explorer,0.48501872659176065
explorer,0.4879999999999999
explorer,0.31656804733727795
returner,0.6626984126984127
returner,0.7989130434782609
explorer,0.4423076923076923
explorer,0.5692307692307691
explorer,0.6865079365079365
explorer,0.23621399176954713
returner,0.42165898617511516
explorer,0.5166666666666668
returner,0.75
returner,0.8333333333333331
returner,1.0
explorer,0.23091787439613498
returner,0.31205673758865243
returner,0.4448051948051949
returner,0.7333333333333335
explorer,0.3319865319865317
explorer,0.26060606060606045
returner,0.48529411764705904
explorer,0.526315789473684
returner,0.4453781512605042
explorer,0.3400990099009901
returner,0.7582417582417582
returner,0.9634146341463414
explorer,0.2938775510204081
explorer,0.2738853503184714
explorer,0.4285714285714285
explorer,0.2837837837837837
returner,0.6550724637681158
explorer,0.25737577639751535
returner,0.42807017543859655
explorer,0.3404761904761909
returner,0.9905660377358491
explorer,0.36751152073732707
explorer,0.1845628415300544
explorer,0.49605522682445746
returner,0.34370370370370357
explorer,0.35072231139646853
returner,0.43666666666666665
explorer,0.3608058608058607
explorer,0.29166666666666674
returner,0.5645161290322581
explorer,0.3011627906976741
returner,0.4020833333333332
explorer,0.291208791208791
returner,0.6777777777777778
returner,0.6296296296296298
returner,0.7272727272727273
explorer,0.39473684210526316
explorer,0.7083333333333334
explorer,1.0
returner,0.4166666666666667
explorer,0.9
explorer,0.5714285714285714
explorer,0.39961013645224136
returner,0.30894308943089427
returner,0.4673469387755101
returner,0.7058823529411765
returner,0.577639751552795
returner,1.0
explorer,0.3333333333333332
returner,0.6722689075630252
explorer,0.3018707482993195
returner,0.4090909090909089
explorer,0.764705882352941
returner,0.357142857142857
returner,0.5642857142857142
explorer,0.9556962025316456
explorer,0.40981432360742703
explorer,0.35308641975308636
returner,0.3863247863247863
returner,0.840579710144927
explorer,0.45669934640522886
returner,0.375
returner,0.8333333333333334
explorer,0.2837606837606837
returner,0.6280701754385961
returner,0.6789473684210524
returner,0.4905303030303031
explorer,0.5133333333333331
returner,0.43737373737373747
explorer,0.5454545454545457
returner,0.6571428571428573
explorer,0.8080808080808082
returner,0.48571428571428593
returner,0.7843137254901958
explorer,0.4193548387096771
returner,0.3636363636363637
explorer,0.2737179487179487
returner,0.4
explorer,0.29268292682926805
explorer,0.2658730158730158
returner,0.6533333333333333
explorer,0.4666666666666666
explorer,0.46172839506172836
explorer,0.26623376623376616
returner,0.611111111111111
explorer,0.3809523809523809
returner,0.40865384615384615
returner,0.3866666666666665
explorer,0.4199134199134202
returner,0.9868421052631579
explorer,0.3116883116883115
explorer,0.28958333333333325
explorer,0.6205128205128202
explorer,0.486111111111111
explorer,0.4569230769230767
returner,1.0
explorer,0.3421052631578945
explorer,1.0
explorer,0.492708333333333
returner,0.5981651376146784
returner,0.702898550724638
returner,0.6210526315789475
explorer,0.3525925925925924
explorer,0.304761904761905
explorer,0.26078431372549027
returner,0.5492424242424242
explorer,0.3960784313725489
returner,0.422077922077922
explorer,0.3964285714285714
returner,0.9787234042553191
explorer,0.36094674556212997
returner,0.5470085470085471
returner,0.5
explorer,0.4232456140350877
explorer,0.2267441860465114
returner,0.3626373626373625
explorer,0.28246753246753237
explorer,0.3509615384615381
returner,0.555
explorer,0.3133640552995391
returner,0.5526315789473684
explorer,0.9807692307692307
explorer,0.25137362637362604
returner,0.5977443609022555
explorer,0.5027777777777778
explorer,0.9875
explorer,0.35252525252525274
explorer,0.24853228962817978
returner,0.42857142857142827
returner,0.9897660818713451
explorer,0.38461538461538436
explorer,0.22601626016260143
explorer,0.3436657681940699
returner,0.5117647058823527
explorer,0.36554621848739494
returner,1.0
explorer,0.48511904761904734
returner,0.6416666666666667
returner,0.5487179487179487
explorer,0.253543307086614
explorer,0.44444444444444453
returner,0.4948717948717949
returner,0.6428571428571428
returner,0.7450980392156855
explorer,0.23508771929824543
returner,0.4803418803418803
explorer,0.35559131134352373
returner,0.4341463414634146
returner,0.5520833333333331
explorer,0.39085239085239065
explorer,0.6666666666666666
returner,0.8431372549019611
explorer,0.2923076923076921
returner,0.32254901960784327
explorer,0.37058823529411755
returner,0.7068965517241379
explorer,0.4866666666666667
explorer,0.49621212121212116
returner,0.6717948717948716
explorer,0.20756302521008382
explorer,1.0
returner,1.0
returner,0.7599999999999998
returner,0.5129870129870129
explorer,0.6875
returner,0.5208333333333334
explorer,0.5884353741496599
explorer,0.28302611367127484
explorer,0.4455503512880561
returner,0.39710144927536223
explorer,0.27088607594936687
returner,0.4038461538461537
explorer,0.27551020408163257
explorer,0.7000000000000002
returner,0.7857142857142857
returner,0.5658482142857142
returner,0.4512820512820514
returner,0.5714285714285714
explorer,0.3551020408163264
explorer,0.46190476190476193
returner,1.0
returner,0.29761904761904767
returner,0.4888888888888888
explorer,0.25791855203619907
returner,0.49103942652329724
explorer,0.45333333333333337
explorer,0.7613636363636364
explorer,0.32857142857142846
returner,0.3130434782608693
returner,0.35918367346938773
explorer,1.0
returner,0.6470588235294117
returner,1.0
returner,0.3458646616541352
returner,0.4027322404371584
explorer,0.8064516129032258
explorer,0.3280423280423278
explorer,0.36000000000000004
explorer,0.8131868131868132
explorer,0.24761904761904754
explorer,0.3738095238095237
returner,0.3558441558441558
returner,0.6761904761904761
returner,0.5757575757575757
explorer,0.9666666666666667
explorer,0.675
returner,0.6666666666666666
returner,0.7447257383966248
returner,0.38153846153846144
returner,0.9107142857142857
explorer,0.3144654088050313
explorer,0.19641025641025625
returner,0.48888888888888893
explorer,0.33066666666666655
explorer,0.431372549019608
returner,0.6857142857142856
explorer,0.3112244897959183
returner,0.46428571428571436
returner,0.6223776223776223
explorer,0.3597883597883604
explorer,0.2799823633156965
explorer,0.31203007518796994
explorer,0.35897435897435903
explorer,0.5435606060606065
explorer,0.33555555555555544
explorer,0.39413265306122447
returner,0.47368421052631576
explorer,0.3152173913043476
explorer,0.31359649122807065
returner,0.9868421052631579
returner,0.35593220338983017
returner,0.4107402031930333
returner,0.4687500000000001
returner,0.46874999999999994
explorer,0.5684523809523808
returner,0.6071428571428571
explorer,0.5333333333333333
explorer,0.2918918918918919
returner,0.5837320574162678
returner,0.798941798941799
returner,0.7333333333333332
explorer,0.28989898989898955
returner,0.46666666666666656
returner,1.0
explorer,0.33312655086848614
returner,0.5940366972477065
explorer,0.5526315789473685
explorer,0.2795031055900622
returner,0.9722222222222222
explorer,0.29541666666666644
explorer,0.32753623188405806
returner,0.6139534883720927
explorer,0.465986394557823
explorer,0.22631578947368397
returner,0.5111111111111107
explorer,0.38295454545454544
explorer,0.254970760233918
returner,0.6217948717948718
returner,0.48888888888888893
explorer,0.29479166666666656
returner,0.7107843137254902
returner,0.6363636363636364
returner,0.8097826086956522
returner,0.7777777777777777
returner,0.7777777777777772
returner,0.3117647058823528
explorer,0.31090909090909064
explorer,0.2606177606177605
returner,0.5549999999999999
returner,0.5040816326530609
returner,0.29411764705882343
explorer,0.731829573934838
explorer,0.4305555555555552
returner,0.7274436090225563
explorer,0.3240950226244342
explorer,0.3742857142857142
returner,0.7904761904761904
explorer,0.3075396825396825
explorer,0.5346153846153843
explorer,0.5000000000000001
explorer,0.22706766917293233
returner,0.6212121212121213
returner,0.5218954248366018
explorer,0.24895833333333317
returner,0.42916666666666664
returner,0.7516339869281045
returner,0.41418439716312044
explorer,0.42177589852008485
returner,0.420807453416149
returner,0.6221198156682027
explorer,0.36279069767441857
returner,0.6944444444444444
returner,0.3571428571428571
returner,0.32943143812709
returner,1.0
explorer,0.37666666666666665
explorer,0.19052631578947343
returner,0.518918918918919
returner,0.3833333333333335
explorer,0.33333333333333326
returner,0.30065359477124154
explorer,0.48282828282828266
returner,0.2637362637362636
explorer,0.37357954545454547
returner,0.44592592592592584
explorer,0.2704081632653059
explorer,0.6903225806451612
explorer,0.7222222222222222
explorer,0.37744533947065656
returner,0.8125
explorer,0.6590909090909091
returner,0.6346153846153845
returner,0.38030303030303025
returner,0.6439393939393936
returner,0.43084577114427847
explorer,0.5299999999999995
explorer,0.43551797040169166
explorer,0.5957446808510632
returner,0.4553571428571428
returner,0.38989898989898986
returner,0.7250000000000001
returner,0.5627906976744181
explorer,0.3093829247675399
