rank_frequency,frequency
1,0.4122323254221297
2,0.19965538606650157
3,0.08000758392544227
4,0.050735080878621976
5,0.03976974287638438
6,0.034606025249304284
7,0.031837476864193616
8,0.0297580553495583
9,0.02787209502562146
10,0.024979900641855343
11,0.021115437717878587
12,0.016608444469115777
13,0.011849378162877818
14,0.00782078917367743
15,0.004863891279787826
16,0.002840199285562066
17,0.001547417295745911
18,0.0008538705538984919
19,0.0004562269316706818
20,0.00026048993119782895
