week,new
1,3.5726184699983827
2,5.6993773249231765
3,7.066938924044235
4,8.207577687470936
5,9.049656287909421
6,9.746972117192714
7,10.356189590326364
8,10.903322346470386
9,11.394026409981597
10,11.840499110176347
11,12.247972494691071
12,12.623680271833663
13,12.999635937057562
14,13.363281487024938
15,13.712647397908619
16,14.052448471854204
17,14.409369500576492
18,14.846892952504248
19,15.38652776373015
20,15.957396880626302
21,16.476917786049523
22,16.94460853732551
23,17.352850726338364
24,17.7298937784522
25,18.09426594367109
26,18.461572706301347
27,18.816007285237276
28,19.154182436398226
29,19.476593333198405
30,19.779246275906736
31,20.068292682926828
32,20.345950650770195
33,20.61835553216469
34,20.88838056680162
35,21.15122069719422
36,21.406247469430724
37,21.643182508351046
38,21.874053528768677
39,22.10121072238419
40,22.32672605790646
41,22.554106593228575
42,22.77584042122317
43,22.9969420818145
44,23.208097051198962
45,23.41406060115045
46,23.617075146850315
47,23.817736185383243
48,24.01636754041243
49,24.209509146526752
50,24.402176115411113
51,24.588591691995948
52,24.769919753586773
53,24.951688080087546
54,25.13092294596895
55,25.307491183266446
56,25.48794924290029
57,25.663449841861976
58,25.83176205826896
59,26.000182489152035
60,26.172074629892517
61,26.347983936394613
62,26.521176470588234
63,26.69335172749589
64,26.86189055937671
65,27.022219967532468
66,27.18291593944068
67,27.3415609459048
68,27.49801039467273
69,27.651980590014823
70,27.815412732257084
71,27.971407103547712
72,28.124157120805915
73,28.278633242595376
74,28.435009651529004
75,28.5981466051578
76,28.76450144303077
77,28.92885745065756
78,29.09049139000142
79,29.244931985929526
80,29.402468784316916
81,29.56099495606899
82,29.7253549778266
83,29.89098233905754
84,30.057450445683585
85,30.220666354588566
86,30.39014657980456
87,30.55524108160938
88,30.719505488910162
89,30.883105506549594
90,31.043524329611216
91,31.206913419207567
92,31.364562948467057
93,31.520199857244826
94,31.67012054582169
95,31.81784424540428
96,31.964286443133812
97,32.10787475506205
98,32.250265392781316
99,32.392530425549296
100,32.533326524359104
101,32.6696636560546
102,32.80168026001104
103,32.941418314958376
104,33.07332692268347
105,33.2032375573019
106,33.33550368550369
107,33.46097910692339
108,33.58337432365962
109,33.70405987287267
110,33.824516420175996
111,33.941737809883435
112,34.06375508192682
113,34.17698424112921
114,34.287550118227614
115,34.399658429185784
116,34.51197117858981
117,34.62087504634779
118,34.729096231549434
119,34.83772355040327
120,34.953032742887814
121,35.058354506207266
122,35.16395476254471
123,35.26697974636407
124,35.370990785795634
125,35.475135717541754
126,35.58103512628043
127,35.6851598173516
128,35.790969725933465
129,35.89048361934477
130,35.9886287904032
131,36.08995536645393
132,36.1877950946392
133,36.29079112599414
134,36.396627658235815
135,36.49643840221891
136,36.59924194567277
137,36.70171143984637
138,36.80403232630955
139,36.90318611853549
140,37.003489658694356
141,37.10855874127367
142,37.20857870955307
143,37.314126673687376
144,37.41228259462259
145,37.51469313453537
146,37.61281810846763
147,37.708486032170995
148,37.79985869781203
149,37.89160854693261
150,37.99160545645331
151,38.09048677034942
152,38.18706838185511
153,38.27944415431075
154,38.38238921882138
155,38.47178142679729
156,38.566913465987966
157,38.66575055316176
158,38.775033393480655
159,38.87565194817454
160,38.97880228136882
