count,use_range
2272012,2.0042105263157897
7272504,4.002708421052631
2285193,6.0012063157894735
1631404,7.999704210526316
4720017,9.998202105263157
2237188,11.996699999999999
3287557,13.995197894736842
1792615,15.993695789473684
1821094,17.992193684210527
2796241,19.99069157894737
1781255,21.989189473684206
1976385,23.98768736842105
1933283,25.986185263157893
1561676,27.984683157894736
2055900,29.98318105263158
1371332,31.981678947368415
1271365,33.98017684210526
1549706,35.9786747368421
1114739,37.977172631578945
1294153,39.97567052631578
1016960,41.974168421052624
910595,43.97266631578947
1099566,45.97116421052631
793187,47.969662105263154
978358,49.96816
1104409,51.966657894736834
747505,53.96515578947368
1127658,55.96365368421052
669754,57.96215157894736
592775,59.96064947368421
647687,61.95914736842104
484908,63.957645263157886
529158,65.95614315789473
450484,67.95464105263157
407727,69.95313894736842
451653,71.95163684210526
369859,73.9501347368421
378453,75.94863263157895
354527,77.94713052631577
315108,79.94562842105262
341927,81.94412631578946
291002,83.9426242105263
277713,85.94112210526315
288879,87.93961999999999
252203,89.93811789473683
261321,91.93661578947368
231507,93.93511368421052
216705,95.93361157894736
232501,97.9321094736842
202089,99.93060736842104
200419,101.92910526315788
190748,103.92760315789472
176406,105.92610105263157
186200,107.92459894736841
165241,109.92309684210525
158162,111.9215947368421
162302,113.92009263157894
146222,115.91859052631578
149403,117.91708842105263
136136,119.91558631578945
128238,121.9140842105263
134927,123.91258210526314
119588,125.91107999999998
119669,127.90957789473683
114226,129.90807578947368
106455,131.9065736842105
111948,133.90507157894737
100164,135.9035694736842
97704,137.90206736842106
98849,139.9005652631579
89845,141.89906315789474
93169,143.89756105263157
85455,145.89605894736843
80989,147.89455684210526
85308,149.89305473684212
76470,151.89155263157895
77445,153.89005052631578
73574,155.88854842105263
68132,157.88704631578946
73270,159.88554421052632
65314,161.88404210526315
65038,163.88254
64913,165.88103789473683
58537,167.8795357894737
62325,169.87803368421052
56848,171.87653157894738
54718,173.8750294736842
57486,175.87352736842104
51397,177.8720252631579
52707,179.87052315789472
50353,181.86902105263158
47208,183.8675189473684
50408,185.86601684210527
44600,187.8645147368421
44975,189.86301263157895
45099,191.86151052631578
41087,193.86000842105264
43539,195.85850631578947
39625,197.8570042105263
38715,199.85550210526316
40433,201.85399999999998
36574,203.85249789473684
37503,205.85099578947367
36177,207.84949368421053
33854,209.84799157894736
35375,211.84648947368422
32630,213.84498736842104
32101,215.84348526315787
32743,217.84198315789473
30190,219.84048105263156
31778,221.83897894736842
29365,223.83747684210525
28546,225.8359747368421
29351,227.83447263157893
27273,229.8329705263158
27395,231.83146842105262
26440,233.82996631578948
25122,235.8284642105263
26339,237.82696210526314
24296,239.82546
24542,241.82395789473682
24252,243.82245578947368
22447,245.8209536842105
23382,247.81945157894737
22275,249.8179494736842
21651,251.81644736842105
21986,253.81494526315788
20505,255.81344315789474
21052,257.81194105263154
20163,259.81043894736837
19384,261.8089368421052
20174,263.8074347368421
18863,265.8059326315789
18926,267.80443052631574
18741,269.80292842105257
17497,271.80142631578946
18213,273.7999242105263
17069,275.7984221052631
17231,277.79691999999994
17256,279.7954178947368
16278,281.79391578947366
16403,283.7924136842105
15862,285.7909115789473
15578,287.78940947368415
15500,289.78790736842103
14950,291.78640526315786
15013,293.7849031578947
14764,295.7834010526315
14163,297.7818989473684
14763,299.78039684210523
13893,301.77889473684206
13577,303.7773926315789
13780,305.7758905263157
12988,307.7743884210526
13154,309.77288631578944
12645,311.77138421052626
12380,313.7698821052631
12510,315.76838
11983,317.7668778947368
12087,319.76537578947364
11779,321.76387368421047
11419,323.7623715789473
11549,325.7608694736842
11210,327.759367368421
11203,329.75786526315784
11047,331.75636315789467
10770,333.75486105263155
10706,335.7533589473684
10433,337.7518568421052
10043,339.75035473684204
10175,341.7488526315789
9921,343.74735052631576
9847,345.7458484210526
9674,347.7443463157894
9521,349.74284421052624
9435,351.74134210526313
9332,353.73983999999996
9030,355.7383378947368
9137,357.7368357894736
8837,359.7353336842105
8824,361.73383157894733
8718,363.73232947368416
8635,365.730827368421
8480,367.7293252631578
8300,369.7278231578947
8360,371.72632105263153
8249,373.72481894736836
7797,375.7233168421052
8143,377.7218147368421
7833,379.7203126315789
7912,381.71881052631574
8025,383.71730842105256
7575,385.71580631578945
7598,387.7143042105263
7305,389.7128021052631
7208,391.71129999999994
7234,393.70979789473677
6805,395.70829578947365
6907,397.7067936842105
7016,399.7052915789473
6665,401.70378947368414
6742,403.702287368421
6627,405.70078526315785
6447,407.6992831578947
6574,409.6977810526315
6205,411.69627894736834
6385,413.6947768421052
6170,415.69327473684206
6149,417.6917726315789
6143,419.6902705263157
5936,421.6887684210526
6031,423.68726631578943
5913,425.68576421052626
5857,427.6842621052631
5719,429.6827599999999
5613,431.6812578947368
5622,433.67975578947363
5716,435.67825368421046
5528,437.6767515789473
5506,439.6752494736842
5395,441.673747368421
5404,443.67224526315783
5331,445.67074315789466
4989,447.66924105263155
5049,449.6677389473684
5169,451.6662368421052
4943,453.66473473684204
5025,455.66323263157886
4815,457.66173052631575
4900,459.6602284210526
4875,461.6587263157894
4601,463.65722421052624
4786,465.6557221052631
4611,467.65421999999995
4668,469.6527178947368
4667,471.6512157894736
4440,473.64971368421044
4460,475.6482115789473
4374,477.64670947368415
4307,479.645207368421
4252,481.6437052631578
4171,483.6422031578947
4296,485.6407010526315
4180,487.63919894736836
4162,489.6376968421052
4049,491.63619473684207
4049,493.6346926315789
4033,495.63319052631573
4032,497.63168842105256
3922,499.6301863157894
3977,501.6286842105263
3816,503.6271821052631
3763,505.62567999999993
3808,507.62417789473676
3798,509.62267578947365
3795,511.6211736842105
3773,513.6196715789473
3726,515.6181694736841
3678,517.616667368421
3598,519.6151652631578
3619,521.6136631578946
3534,523.6121610526316
3484,525.6106589473684
3355,527.6091568421052
3472,529.607654736842
3336,531.6061526315789
3456,533.6046505263157
3420,535.6031484210525
3361,537.6016463157894
3358,539.6001442105262
3362,541.5986421052631
3276,543.59714
3221,545.5956378947368
