category,count_weeks
Social,0.8420326687910215
Communication,0.8413927212305071
News & Magazines,0.8098672933124953
Video Players & Editors,0.7577734429987992
Finance,0.6780714416937459
Medical,0.43934805150990264
Beauty,0.4387210843828492
Games,0.40764271011299597
Events,0.3784825678675077
Art & Design,0.3433070779020244
